dataset,subject,outcome,stage,model,grid,policy,comparator,config_id,full_config_id,metric,restricted,full,difference
uci320,mathematics,fail_g3_lt_10,period1,histgb,c13_selected,targeted_no_sex,full,uci320__mathematics__fail_g3_lt_10__period1__targeted_no_sex__histgb,uci320__mathematics__fail_g3_lt_10__period1__full__histgb,average_precision,0.8331106036022559,0.8247413251271486,0.008369278475107267
uci320,mathematics,fail_g3_lt_10,period1,histgb,c13_selected,targeted_no_sex,full,uci320__mathematics__fail_g3_lt_10__period1__targeted_no_sex__histgb,uci320__mathematics__fail_g3_lt_10__period1__full__histgb,auroc,0.9110595065312046,0.9060957910014514,0.0049637155297531654
uci320,mathematics,fail_g3_lt_10,period1,histgb,c13_selected,targeted_no_sex,full,uci320__mathematics__fail_g3_lt_10__period1__targeted_no_sex__histgb,uci320__mathematics__fail_g3_lt_10__period1__full__histgb,brier,0.11578075636700982,0.11855871115967818,-0.0027779547926683607
uci320,mathematics,fail_g3_lt_10,period1,logistic,c13_selected,no_demographic_family,full,uci320__mathematics__fail_g3_lt_10__period1__no_demographic_family__logistic,uci320__mathematics__fail_g3_lt_10__period1__full__logistic,average_precision,0.8206908675826724,0.8339207813276356,-0.013229913744963184
uci320,mathematics,fail_g3_lt_10,period1,logistic,c13_selected,no_demographic_family,full,uci320__mathematics__fail_g3_lt_10__period1__no_demographic_family__logistic,uci320__mathematics__fail_g3_lt_10__period1__full__logistic,auroc,0.910711175616836,0.9127721335268505,-0.0020609579100144826
uci320,mathematics,fail_g3_lt_10,period1,logistic,c13_selected,no_demographic_family,full,uci320__mathematics__fail_g3_lt_10__period1__no_demographic_family__logistic,uci320__mathematics__fail_g3_lt_10__period1__full__logistic,brier,0.11528168285988849,0.11396642730723669,0.0013152555526518006
uci320,mathematics,fail_g3_lt_10,period1,logistic,c13_selected,no_sensitive_wellbeing,full,uci320__mathematics__fail_g3_lt_10__period1__no_sensitive_wellbeing__logistic,uci320__mathematics__fail_g3_lt_10__period1__full__logistic,average_precision,0.8057462848892378,0.8339207813276356,-0.028174496438397756
uci320,mathematics,fail_g3_lt_10,period1,logistic,c13_selected,no_sensitive_wellbeing,full,uci320__mathematics__fail_g3_lt_10__period1__no_sensitive_wellbeing__logistic,uci320__mathematics__fail_g3_lt_10__period1__full__logistic,auroc,0.9051088534107401,0.9127721335268505,-0.007663280116110394
uci320,mathematics,fail_g3_lt_10,period1,logistic,c13_selected,no_sensitive_wellbeing,full,uci320__mathematics__fail_g3_lt_10__period1__no_sensitive_wellbeing__logistic,uci320__mathematics__fail_g3_lt_10__period1__full__logistic,brier,0.1183930770362797,0.11396642730723669,0.004426649729043011
uci320,mathematics,fail_g3_lt_10,period1,logistic,c13_selected,school_observable_only,full,uci320__mathematics__fail_g3_lt_10__period1__school_observable_only__logistic,uci320__mathematics__fail_g3_lt_10__period1__full__logistic,average_precision,0.8165206606031438,0.8339207813276356,-0.01740012072449182
